Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10252,2012-10-22,-0.081672053,-0.040736885,-0.03944009,21,100
Market-Adjusted Model,10253,2012-10-22,-0.301546402,-0.300143919,-0.259314438,21,100
Market-Adjusted Model,10257,2012-10-22,-0.036697325,0.0102364202,0.0055346384,21,100
Market-Adjusted Model,10258,2012-10-22,-0.120743062,-0.077757151,-0.078511099,21,100
Market-Adjusted Model,10259,2012-10-22,-0.066450541,-0.02195342,-0.024218578,21,100
Market-Adjusted Model,10294,2012-10-22,0.1113513577,0.153882469,0.1535833208,21,100
Market-Adjusted Model,10297,2012-10-22,-0.007127526,0.0368133657,0.0351044368,21,100
Market-Adjusted Model,10299,2012-10-22,-0.027384889,0.0175068557,0.014847074,21,100
Market-Adjusted Model,10302,2012-10-22,-0.079887255,-0.027319326,-0.037655292,21,100
Market-Adjusted Model,10308,2012-10-22,-0.047770709,-0.004851468,-0.005538746,21,100
Market-Adjusted Model,10318,2012-10-22,-0.130434833,-0.090919883,-0.08820287,21,100
Market-Adjusted Model,10333,2012-10-22,-0.267955752,-0.258869999,-0.225723789,21,100
Market-Adjusted Model,10355,2012-10-22,-0.032506856,0.0270646783,0.0097251069,21,100
Market-Adjusted Model,10363,2012-10-22,-0.173087384,-0.141313327,-0.130855421,21,100
Market-Adjusted Model,10375,2012-10-22,-0.063439009,-0.020162101,-0.021207046,21,100
Market-Adjusted Model,10382,2012-10-22,-0.101467315,-0.059570961,-0.059235352,21,100
Market-Adjusted Model,10395,2012-10-22,0.0256308993,0.0686049739,0.0678628624,21,100
Market-Adjusted Model,10397,2012-10-22,0.0552535924,0.0980790981,0.0974855555,21,100
Market-Adjusted Model,10421,2012-10-22,0.0163191612,0.0652977685,0.0585511242,21,100
Market-Adjusted Model,10443,2012-10-22,-0.163172607,-0.121535351,-0.120940644,21,100
Market-Adjusted Model,10463,2012-10-22,-0.180327884,-0.145852657,-0.138095921,21,100
Market-Adjusted Model,10501,2012-10-22,0.1026242002,0.1449959355,0.1448561633,21,100
Market-Adjusted Model,10507,2012-10-22,-0.198275877,-0.171516655,-0.156043914,21,100
Market-Adjusted Model,10514,2012-10-22,-0.093333307,-0.048892611,-0.051101344,21,100
Market-Adjusted Model,10516,2012-10-22,-0.078340984,-0.03768017,-0.036109021,21,100
Market-Adjusted Model,10517,2012-10-22,0.0833934775,0.1333230642,0.1256254406,21,100
Market-Adjusted Model,10530,2012-10-22,-0.014300339,0.0311622471,0.0279316239,21,100
Market-Adjusted Model,10547,2012-10-22,-0.126654079,-0.089913255,-0.084422116,21,100
Market-Adjusted Model,10550,2012-10-22,0.158670162,0.2071711134,0.2009021251,21,100
Market-Adjusted Model,10606,2012-10-22,0.0406078896,0.0864917422,0.0828398526,21,100
Market-Adjusted Model,10629,2012-10-22,-0.076248896,-0.034431745,-0.034016933,21,100
Market-Adjusted Model,10644,2012-10-22,-0.058823543,-0.009584075,-0.016591579,21,100
Market-Adjusted Model,10645,2012-10-22,0.0575296432,0.1034348626,0.0997616063,21,100
Market-Adjusted Model,10649,2012-10-22,-0.054470683,-0.0107569,-0.01223872,21,100
Market-Adjusted Model,10656,2012-10-22,0.0638298311,0.107245002,0.1060617942,21,100
Market-Adjusted Model,10659,2012-10-22,-0.113082035,-0.073768239,-0.070850071,21,100
Market-Adjusted Model,10661,2012-10-22,0.0398494613,0.0838056518,0.0820814244,21,100
Market-Adjusted Model,10667,2012-10-22,-0.142076482,-0.106929964,-0.099844519,21,100
Market-Adjusted Model,10693,2012-10-22,-0.050825375,-0.006893251,-0.008593412,21,100
Market-Adjusted Model,10696,2012-10-22,0.0028297963,0.0458287528,0.0450617593,21,100
Market-Adjusted Model,10769,2012-10-22,-0.053510712,-0.011683601,-0.011278749,21,100
Market-Adjusted Model,10772,2012-10-22,0.0423280652,0.0905056183,0.0845600283,21,100
Market-Adjusted Model,10777,2012-10-22,0.0255931593,0.0687270084,0.0678251224,21,100
Market-Adjusted Model,10779,2012-10-22,-0.159340699,-0.124853068,-0.117108736,21,100
Market-Adjusted Model,10781,2012-10-22,0.0217391272,0.076594049,0.0639710903,21,100
Market-Adjusted Model,10812,2012-10-22,0.0143964325,0.0583601005,0.0566283956,21,100
Market-Adjusted Model,10838,2012-10-22,-0.392156828,-0.420786199,-0.349924864,21,100
Market-Adjusted Model,10853,2012-10-22,0.0259894007,0.0694220841,0.0682213638,21,100
Market-Adjusted Model,10860,2012-10-22,-0.182247428,-0.154460544,-0.140015465,21,99
Market-Adjusted Model,10866,2012-10-22,-0.014953201,0.0308815611,0.0272787622,21,100
Market-Adjusted Model,10874,2012-10-22,0.0576113919,0.1093693098,0.099843355,21,100
Market-Adjusted Model,10886,2012-10-22,0.0542005537,0.1243816229,0.0964325168,21,100
Market-Adjusted Model,10890,2012-10-22,-0.243589723,-0.219458591,-0.20135776,21,100
Market-Adjusted Model,10892,2012-10-22,0.0281018666,0.0721515412,0.0703338297,21,100
Market-Adjusted Model,10901,2012-10-22,-0.016857358,0.0298588369,0.0253746046,21,100
Market-Adjusted Model,10909,2012-10-22,0.0137527347,0.066454298,0.0559846978,21,100
Market-Adjusted Model,10913,2012-10-22,0.1622156607,0.2077550733,0.2044476238,21,100
Market-Adjusted Model,10932,2012-10-22,-0.115504728,-0.076714743,-0.073272764,21,100
Market-Adjusted Model,10933,2012-10-22,0.0411024221,0.0846196992,0.0833343852,21,100
Market-Adjusted Model,10942,2012-10-22,-0.008863392,0.0361224651,0.0333685713,21,100
Market-Adjusted Model,10952,2012-10-22,-0.061261321,-0.01873359,-0.019029358,21,100
Market-Adjusted Model,11003,2012-10-22,0.0141422764,0.0589057214,0.0563742395,21,100
Market-Adjusted Model,11006,2012-10-22,-0.097507103,-0.057345566,-0.055275139,21,100
Market-Adjusted Model,11018,2012-10-22,-0.05133929,-0.007632807,-0.009107326,21,100
Market-Adjusted Model,11043,2012-10-22,-0.081124519,-0.038258856,-0.038892556,21,100
Market-Adjusted Model,11056,2012-10-22,-0.084081475,-0.042156345,-0.041849512,21,100
Market-Adjusted Model,11061,2012-10-22,0.2184996377,0.2615919329,0.2607316008,21,100
Market-Adjusted Model,11077,2012-10-22,-0.078806621,-0.036240013,-0.036574658,21,100
Market-Adjusted Model,11081,2012-10-22,-0.049689393,-0.005286763,-0.00745743,21,100
Market-Adjusted Model,11131,2012-10-22,0.0609374761,0.1081648041,0.1031694392,21,100
Market-Adjusted Model,11144,2012-10-22,-0.118825875,-0.079051623,-0.076593912,21,100
Market-Adjusted Model,11154,2012-10-22,-0.041802694,0.0043381742,0.0004292694,21,100
Market-Adjusted Model,11157,2012-10-22,-0.115942056,-0.062536617,-0.073710093,21,100
Market-Adjusted Model,11174,2012-10-22,-0.073660697,-0.032100214,-0.031428734,21,100
Market-Adjusted Model,11182,2012-10-22,-0.218085155,-0.179229427,-0.175853191,21,100
Market-Adjusted Model,11203,2012-10-22,-0.007546029,0.0354298398,0.0346859344,21,100
Market-Adjusted Model,11208,2012-10-22,0.078124951,0.1246512162,0.1203569141,21,100
Market-Adjusted Model,11246,2012-10-22,-0.04225346,0.0025080357,-0.000021497,21,100
Market-Adjusted Model,11264,2012-10-22,-0.096861773,-0.055400623,-0.05462981,21,100
Market-Adjusted Model,11267,2012-10-22,-0.053813172,-0.009206078,-0.011581209,21,100
Market-Adjusted Model,11285,2012-10-22,-0.147668397,-0.111806771,-0.105436434,21,100
Market-Adjusted Model,11292,2012-10-22,-0.045976974,0.0172262766,-0.003745011,21,100
Market-Adjusted Model,11293,2012-10-22,-0.007508206,0.0372397193,0.034723757,21,100
Market-Adjusted Model,11308,2012-10-22,-0.04821152,-0.00633085,-0.005979557,21,100
Market-Adjusted Model,11343,2012-10-22,0.0271051156,0.0707625822,0.0693370786,21,100
Market-Adjusted Model,11348,2012-10-22,-0.058780566,-0.014710305,-0.016548603,21,100
Market-Adjusted Model,11361,2012-10-22,0.0607934186,0.1036656812,0.1030253817,21,100
Market-Adjusted Model,11363,2012-10-22,-0.061170216,-0.019015706,-0.018938253,21,100
Market-Adjusted Model,11368,2012-10-22,-0.030892393,0.0132517313,0.0113395699,21,100
Market-Adjusted Model,11369,2012-10-22,-0.069075018,-0.027093512,-0.026843055,21,100
Market-Adjusted Model,11370,2012-10-22,0.0809943266,0.1253709405,0.1232262897,21,100
Market-Adjusted Model,11378,2012-10-22,-0.131805163,-0.09225757,-0.0895732,21,100
Market-Adjusted Model,11379,2012-10-22,-0.206278048,-0.18297,-0.164046085,21,100
Market-Adjusted Model,11382,2012-10-22,-0.03849764,0.005259878,0.0037343228,21,100
Market-Adjusted Model,11394,2012-10-22,-0.123711341,-0.049745079,-0.081479378,21,100
Market-Adjusted Model,11397,2012-10-22,-0.036925449,0.0076625546,0.0053065138,21,100
Market-Adjusted Model,11403,2012-10-22,-0.005451692,0.0394673049,0.0367802712,21,100
Market-Adjusted Model,11404,2012-10-22,-0.06575893,-0.024834361,-0.023526967,21,100
Market-Adjusted Model,11407,2012-10-22,-0.061244731,-0.019979444,-0.019012768,21,100
Market-Adjusted Model,11442,2012-10-22,-0.060779061,-0.018406818,-0.018547098,21,100
Market-Adjusted Model,11478,2012-10-22,-0.163350824,-0.123167712,-0.121118861,21,100
Market-Adjusted Model,11481,2012-10-22,-0.227864052,-0.199705807,-0.185632089,21,100
Market-Adjusted Model,11499,2012-10-22,0.023784852,0.074439485,0.0660168151,21,100
Market-Adjusted Model,11505,2012-10-22,-0.024650116,0.0188668396,0.0175818476,21,100
Market-Adjusted Model,11506,2012-10-22,0.0036815409,0.0477764749,0.045913504,21,100
Market-Adjusted Model,11513,2012-10-22,-0.0671642,0.0246979192,-0.024932237,21,100
Market-Adjusted Model,11533,2012-10-22,-0.065382856,-0.018654286,-0.023150893,21,100
Market-Adjusted Model,11547,2012-10-22,-0.06685237,-0.024865664,-0.024620407,21,100
Market-Adjusted Model,11552,2012-10-22,-0.096276041,-0.05615415,-0.054044078,21,100
Market-Adjusted Model,11565,2012-10-22,-0.047271485,-0.004089365,-0.005039522,21,100
Market-Adjusted Model,11581,2012-10-22,-0.024781816,0.019715744,0.0174501472,21,100
Market-Adjusted Model,11587,2012-10-22,-0.140240341,-0.105432821,-0.098008378,21,100
Market-Adjusted Model,11593,2012-10-22,0.0522387459,0.1212237572,0.094470709,21,100
Market-Adjusted Model,11599,2012-10-22,-0.123717421,-0.083380151,-0.081485458,21,100
Market-Adjusted Model,11600,2012-10-22,0.0152431486,0.0606579935,0.0574751117,21,100
Market-Adjusted Model,11618,2012-10-22,-0.030376824,0.0172768538,0.0118551393,21,100
Market-Adjusted Model,11628,2012-10-22,-0.040000026,0.0031210333,0.0022319371,21,100
Market-Adjusted Model,11638,2012-10-22,-0.056230323,-0.012635868,-0.01399836,21,100
Market-Adjusted Model,11641,2012-10-22,-0.09108222,-0.049654317,-0.048850257,21,100
Market-Adjusted Model,11644,2012-10-22,-0.140504351,-0.100486172,-0.098272388,21,100
Market-Adjusted Model,11648,2012-10-22,0.0176256218,0.0604768068,0.0598575849,21,100
Market-Adjusted Model,11652,2012-10-22,0.0260531178,0.0705413217,0.0682850809,21,100
Market-Adjusted Model,11654,2012-10-22,-0.004800035,0.0382985055,0.037431928,21,100
Market-Adjusted Model,11664,2012-10-22,-0.134630386,-0.071860879,-0.092398423,21,100
Market-Adjusted Model,11674,2012-10-22,-0.019943945,0.0228479719,0.0222880181,21,100
Market-Adjusted Model,11691,2012-10-22,0.0132314413,0.0597459466,0.0554634044,21,100
Market-Adjusted Model,11701,2012-10-22,-0.009488484,0.0341913263,0.0327434793,21,100
Market-Adjusted Model,11703,2012-10-22,-0.129493482,-0.090822591,-0.087261518,21,100
Market-Adjusted Model,11707,2012-10-22,-0.215490833,-0.174873432,-0.17325887,21,100
Market-Adjusted Model,11731,2012-10-22,-0.042119579,0.0015043711,0.0001123844,21,100
Market-Adjusted Model,11748,2012-10-22,-0.030275944,0.0157772709,0.0119560188,21,100
Market-Adjusted Model,11750,2012-10-22,-0.113300502,-0.06753948,-0.071068539,21,100
Market-Adjusted Model,11752,2012-10-22,-0.193759446,-0.16824424,-0.151527483,21,100
Market-Adjusted Model,11762,2012-10-22,0.048011854,0.0932782304,0.0902438171,21,100
Market-Adjusted Model,11775,2012-10-22,-0.108998166,-0.066139703,-0.066766203,21,100
Market-Adjusted Model,11781,2012-10-22,0.0310881095,0.105504648,0.0733200726,21,100
Market-Adjusted Model,11786,2012-10-22,-0.117101013,-0.07824091,-0.07486905,21,100
Market-Adjusted Model,11790,2012-10-22,-0.006535981,0.0375470643,0.0356959819,21,100
Market-Adjusted Model,11803,2012-10-22,-0.021472377,0.0270860748,0.0207595865,21,100
Market-Adjusted Model,11809,2012-10-22,0.2145027361,0.2535430529,0.2567346992,21,100
Market-Adjusted Model,11814,2012-10-22,-0.034946861,0.0081923835,0.0072851023,21,100
Market-Adjusted Model,11825,2012-10-22,0.0420899734,0.0944833687,0.0843219365,21,100
Market-Adjusted Model,11839,2012-10-22,-0.014699277,0.0348622122,0.0275326864,21,100
Market-Adjusted Model,11844,2012-10-22,-0.109101086,-0.071351783,-0.066869123,21,100
Market-Adjusted Model,11845,2012-10-22,-0.059669759,-0.01774264,-0.017437796,21,100
Market-Adjusted Model,11850,2012-10-22,-0.041058915,0.0016552226,0.0011730477,21,100
Market-Adjusted Model,11884,2012-10-22,-0.01766013,0.0285945731,0.0245718332,21,100
Market-Adjusted Model,11891,2012-10-22,-0.045540752,-0.000463142,-0.003308789,21,100
Market-Adjusted Model,11896,2012-10-22,0.0291471585,0.075285405,0.0713791216,21,100
Market-Adjusted Model,11955,2012-10-22,-0.004056136,0.039077779,0.0381758275,21,100
Market-Adjusted Model,11969,2012-10-22,-0.020853009,0.0232216561,0.0213789537,21,100
Market-Adjusted Model,11972,2012-10-22,-0.054634858,-0.010608531,-0.012402895,21,100
Market-Adjusted Model,11976,2012-10-22,-0.052145783,-0.009657731,-0.00991382,21,100
Market-Adjusted Model,11979,2012-10-22,-0.00772751,0.0360641382,0.0345044532,21,100
Market-Adjusted Model,11980,2012-10-22,-0.015867076,0.0282826569,0.0263648875,21,100
Market-Adjusted Model,11984,2012-10-22,-0.024846977,0.0187756061,0.0173849863,21,100
Market-Adjusted Model,11986,2012-10-22,-0.007580095,0.035620657,0.0346518684,21,100
Market-Adjusted Model,11988,2012-10-22,-0.02219352,0.0212865847,0.0200384432,21,100
Market-Adjusted Model,11989,2012-10-22,-0.005523936,0.0376009991,0.0367080274,21,100
Market-Adjusted Model,11990,2012-10-22,-0.007693581,0.0379369752,0.0345383824,21,100
Market-Adjusted Model,11992,2012-10-22,-0.115785235,-0.076782654,-0.073553272,21,100
Market-Adjusted Model,11993,2012-10-22,0.3272727812,0.3463424162,0.3695047443,21,100
Market-Adjusted Model,11995,2012-10-22,-0.038416089,0.0049214819,0.0038158743,21,100
Market-Adjusted Model,11996,2012-10-22,0.002661027,0.0450330562,0.0448929901,21,100
Market-Adjusted Model,11999,2012-10-22,-0.175551456,-0.138032101,-0.133319493,21,100
Market-Adjusted Model,12007,2012-10-22,-0.277741204,-0.226280887,-0.235509241,21,100
Market-Adjusted Model,12008,2012-10-22,0.0889202701,0.1317060516,0.1311522332,21,100
Market-Adjusted Model,12009,2012-10-22,-0.058918925,-0.013874319,-0.016686962,21,100
Market-Adjusted Model,12011,2012-10-22,0.0344061512,0.0791208396,0.0766381142,21,100
Market-Adjusted Model,12014,2012-10-22,0.0196078245,0.0631392403,0.0618397875,21,100
Market-Adjusted Model,12015,2012-10-22,-0.005054402,0.0378957974,0.0371775608,21,100
Market-Adjusted Model,12017,2012-10-22,-0.28634359,-0.064137562,-0.244111627,21,100
Market-Adjusted Model,12018,2012-10-22,0.2931034046,0.3174859126,0.3353353677,21,100
Market-Adjusted Model,12021,2012-10-22,0.0110395494,0.0543564231,0.0532715125,21,100
Market-Adjusted Model,12023,2012-10-22,-0.267123267,-0.222985691,-0.224891303,21,100
Market-Adjusted Model,12025,2012-10-22,-0.064120521,-0.022533264,-0.021888558,21,100
Market-Adjusted Model,12026,2012-10-22,-0.047046501,0.0049870181,-0.004814538,21,100
Market-Adjusted Model,12027,2012-10-22,-0.122580609,-0.084617291,-0.080348645,21,100
Market-Adjusted Model,12030,2012-10-22,-0.125807664,-0.058137504,-0.083575701,21,100
Market-Adjusted Model,12034,2012-10-22,-0.039138969,0.0030595657,0.0030929938,21,100
Market-Adjusted Model,12035,2012-10-22,-0.015101084,0.0272393612,0.0271308792,21,100
Market-Adjusted Model,12036,2012-10-22,-0.045643142,-0.001970664,-0.003411179,21,100
Market-Adjusted Model,12038,2012-10-22,-0.055350586,-0.008233966,-0.013118623,21,100
Market-Adjusted Model,12039,2012-10-22,-0.008073752,0.0345805345,0.0341582116,21,100
Market-Adjusted Model,12043,2012-10-22,0.0145166797,0.0460191184,0.0459308971,16,100
Market-Adjusted Model,12047,2012-10-22,-0.074098518,-0.031990606,-0.031866554,21,100
Market-Adjusted Model,12049,2012-10-22,-0.181773918,-0.149124511,-0.139541955,21,100
Market-Adjusted Model,12051,2012-10-22,-0.178247707,-0.149024127,-0.136015744,21,100
Market-Adjusted Model,12052,2012-10-22,-0.010402803,0.0340803408,0.0318291603,21,100
Market-Adjusted Model,12054,2012-10-22,-0.058510626,-0.015221518,-0.016278663,21,100
Market-Adjusted Model,12056,2012-10-22,-0.070175482,-0.015405666,-0.027943519,21,100
Market-Adjusted Model,12057,2012-10-22,-0.141327588,-0.10288704,-0.099095625,21,100
Market-Adjusted Model,12059,2012-10-22,0.0029946765,0.0453370044,0.0452266396,21,100
Market-Adjusted Model,12060,2012-10-22,-0.086072733,-0.046137553,-0.04384077,21,100
Market-Adjusted Model,12062,2012-10-22,-0.09148294,-0.052096288,-0.049250977,21,100
Market-Adjusted Model,12064,2012-10-22,0.0006001035,0.0429011621,0.0428320666,21,100
Market-Adjusted Model,12065,2012-10-22,0.0034044626,0.045797689,0.0456364257,21,100
Market-Adjusted Model,12066,2012-10-22,-0.027464252,0.0149754598,0.0147677112,21,100
Market-Adjusted Model,12068,2012-10-22,-0.141618496,-0.104625114,-0.099386533,21,100
Market-Adjusted Model,12070,2012-10-22,0.0093572298,0.0524396744,0.0515891929,21,100
Market-Adjusted Model,12072,2012-10-22,0.0223214449,0.0661172574,0.064553408,21,100
Market-Adjusted Model,12073,2012-10-22,-0.033792383,0.0091411952,0.0084395799,21,100
Market-Adjusted Model,12075,2012-10-22,0.0075936999,0.0499279645,0.049825663,21,100
Market-Adjusted Model,12076,2012-10-22,0.0637397975,0.1068753985,0.1059717606,21,100
Market-Adjusted Model,12078,2012-10-22,-0.148809533,-0.106808372,-0.10657757,21,100
Market-Adjusted Model,12080,2012-10-22,-0.005333329,0.0389463258,0.0368986341,21,100
Market-Adjusted Model,12082,2012-10-22,-0.188701895,-0.136991669,-0.146469931,21,100
Market-Adjusted Model,12084,2012-10-22,0.0051423691,0.0666194517,0.0473743322,21,100
Market-Adjusted Model,12085,2012-10-22,-0.11051215,-0.066398848,-0.068280187,21,100
Market-Adjusted Model,12088,2012-10-22,-0.083809532,-0.041191108,-0.041577569,21,100
Market-Adjusted Model,12089,2012-10-22,-0.11782605,-0.079095836,-0.075594087,21,100
Market-Adjusted Model,12090,2012-10-22,-0.102473486,-0.060540812,-0.060241523,21,100
Market-Adjusted Model,12093,2012-10-22,-0.176319696,-0.146470771,-0.134087733,21,100
Market-Adjusted Model,12097,2012-10-22,0.0491367728,0.1019969794,0.0913687359,21,100
Market-Adjusted Model,12098,2012-10-22,-0.000400811,0.0424358428,0.0418311524,21,100
Market-Adjusted Model,12103,2012-10-22,0.0044406897,0.047039174,0.0466726528,21,100
Market-Adjusted Model,12105,2012-10-22,0.0035273033,0.0466779194,0.0457592664,21,100
Market-Adjusted Model,12106,2012-10-22,-0.003436422,0.0394551244,0.0387955415,21,100
Market-Adjusted Model,12109,2012-10-22,0.003372129,0.0463731641,0.045604092,21,100
Market-Adjusted Model,12149,2012-10-22,-0.356494868,-0.263781939,-0.314262905,21,100
Market-Adjusted Model,12166,2012-10-22,-0.009433954,0.0373427664,0.0327980089,21,100
Market-Adjusted Model,12169,2012-10-22,-0.195273488,-0.151104651,-0.153041525,21,100
Market-Adjusted Model,12173,2012-10-22,-0.215189869,-0.194258271,-0.172957906,21,100
Market-Adjusted Model,12175,2012-10-22,-0.030348663,0.0147424445,0.0118833,21,100
Market-Adjusted Model,12189,2012-10-22,-0.002217645,0.043559862,0.0400143179,21,100
Market-Adjusted Model,12190,2012-10-22,-0.115938207,-0.072292149,-0.073706244,21,100
Market-Adjusted Model,12209,2012-10-22,-0.072510832,-0.029877279,-0.030278869,21,100
Market-Adjusted Model,12211,2012-10-22,0.0295633351,0.0778867121,0.0717952982,21,100
Market-Adjusted Model,12217,2012-10-22,-0.097759641,-0.056827119,-0.055527678,21,100
Market-Adjusted Model,12219,2012-10-22,0.0732567739,0.1156939994,0.1154887369,21,100
Market-Adjusted Model,12226,2012-10-22,-0.059459465,-0.004256009,-0.017227502,21,100
Market-Adjusted Model,12248,2012-10-22,0.036029392,0.0822873964,0.0782613551,21,100
Market-Adjusted Model,12266,2012-10-22,-0.101265875,0.0154973107,-0.059033912,21,100
Market-Adjusted Model,12287,2012-10-22,0.0050600849,0.0481148782,0.047292048,21,100
Market-Adjusted Model,12288,2012-10-22,-0.032276536,0.0111708436,0.0099554276,21,100
Market-Adjusted Model,12289,2012-10-22,0.0089666758,0.0513061513,0.0511986389,21,100
Market-Adjusted Model,12290,2012-10-22,0.0150260265,0.0574648387,0.0572579896,21,100
Market-Adjusted Model,12291,2012-10-22,-0.056217643,-0.007648861,-0.01398568,21,100
Market-Adjusted Model,12292,2012-10-22,-0.024156492,0.018780003,0.0180754716,21,100
Market-Adjusted Model,12293,2012-10-22,-0.000520301,0.0472407022,0.0417116624,21,100
Market-Adjusted Model,12294,2012-10-22,-0.046389686,-0.004512472,-0.004157723,21,100
Market-Adjusted Model,12295,2012-10-22,-0.037082265,0.0052966428,0.0051496984,21,100
Market-Adjusted Model,12296,2012-10-22,-0.037069379,0.0055810486,0.0051625844,21,100
Market-Adjusted Model,12297,2012-10-22,-0.036995956,0.0054839016,0.0052360074,21,100
Market-Adjusted Model,12301,2012-10-22,-0.034194085,0.0082983285,0.0080378779,21,100
Market-Adjusted Model,12302,2012-10-22,-0.016017262,0.0271820333,0.0262147006,21,100
Market-Adjusted Model,12303,2012-10-22,-0.010585932,0.0326500907,0.0316460306,21,100
Market-Adjusted Model,12304,2012-10-22,-0.012389822,0.0308647501,0.0298421414,21,100
Market-Adjusted Model,12305,2012-10-22,-0.043205254,-0.001039663,-0.000973291,21,100
Market-Adjusted Model,12306,2012-10-22,0.0047118616,0.0471619279,0.0469438246,21,100
Market-Adjusted Model,12307,2012-10-22,-0.096989949,-0.027890478,-0.054757986,21,100
Market-Adjusted Model,12308,2012-10-22,-0.092251374,-0.052222296,-0.050019411,21,100
Market-Adjusted Model,12309,2012-10-22,0.0318210563,0.0751271728,0.0740530194,21,100
Market-Adjusted Model,12310,2012-10-22,6.2881356219,3.4148579289,6.3303675849,21,100
Market-Adjusted Model,12312,2012-10-22,-0.265616481,-0.258967245,-0.223384518,21,100
Market-Adjusted Model,12313,2012-10-22,-0.035036766,0.0073230852,0.0071951967,21,100
Market-Adjusted Model,12314,2012-10-22,-0.048788717,-0.006999441,-0.006556754,21,100
Market-Adjusted Model,12315,2012-10-22,-0.035475392,0.0070200907,0.0067565708,21,100
Market-Adjusted Model,12316,2012-10-22,-0.042040661,0.0000613849,0.0001913024,21,100
Market-Adjusted Model,12317,2012-10-22,-0.046193686,-0.0038716,-0.003961723,21,100
Market-Adjusted Model,12318,2012-10-22,-0.043270972,-0.000840375,-0.001039009,21,100
Market-Adjusted Model,12321,2012-10-22,-0.04836987,-0.006128155,-0.006137907,21,100
Market-Adjusted Model,12322,2012-10-22,-0.020635336,0.0217534601,0.0215966268,21,100
Market-Adjusted Model,12323,2012-10-22,0.0501419778,0.0926709613,0.0923739409,21,100
Market-Adjusted Model,12324,2012-10-22,0.1788618109,0.2229287859,0.221093774,21,100
Market-Adjusted Model,12325,2012-10-22,-0.081176483,-0.021616292,-0.03894452,21,100
Market-Adjusted Model,12326,2012-10-22,-0.055599669,-0.013618587,-0.013367706,21,100
Market-Adjusted Model,12329,2012-10-22,-0.043821211,-0.001223238,-0.001589247,21,100
Market-Adjusted Model,12330,2012-10-22,-0.144027286,-0.109355278,-0.101795322,21,100
Market-Adjusted Model,12331,2012-10-22,-0.012494494,0.030225188,0.0297374693,21,100
Market-Adjusted Model,12332,2012-10-22,-0.0248472,0.0197506348,0.0173847632,21,100
Market-Adjusted Model,12333,2012-10-22,-0.039877262,0.0037535146,0.0023547007,21,100
Market-Adjusted Model,12334,2012-10-22,0.0140656238,0.062816621,0.0562975869,21,100
Market-Adjusted Model,12337,2012-10-22,0.0169712923,0.0614900702,0.0592032554,21,100
Market-Adjusted Model,12338,2012-10-22,-0.078787881,-0.037023399,-0.036555918,21,100
